vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,56535128,75
odnoklassniki.ru,www.odnoklassniki.ru/,Одноклассники.ru,19323274,67
mail.ru,mail.ru/,Почта Mail.Ru,13039044,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3690607,84
gismeteo.ru,www.gismeteo.ru/,GISMETEO.RU: Прогноз погоды,3272782,90
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3173179,86
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,2935758,84
kp,kp.ru,Комсомольская правда-Digital,2445173,81
Lenta,lenta.ru,Lenta.Ru,2301802,81
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2278683,90
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,2137482,70
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,2056989,78
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,2054423,80
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1938806,90
mic_izvestia,iz.ru,Известия,1835093,85
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1748199,88
life.ru,life.ru/,L!FE.ru,1591873,91
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,1440461,92
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1399511,79
russian.rt.com,russian.rt.com/,RT на русском,1393411,85
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1375649,82
mail-my,my.mail.ru/,Мой Мир Mail.Ru,1374818,73
russian_rt,https://russian.rt.com/,RT,1366329,85
Pikabu,pikabu.ru,Сообщество Пикабу,1190848,81
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1156786,81
TASS_total,tass.ru,ТАСС - Новости в России и мире,1113206,88
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,964638,76
hsdigital/rn/smi,news.ngs.ru,Hearst Shkulev Digital — НОВОСТИ,949536,97
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,895903,95
yaplakal.com,www.yaplakal.com/,ЯПлакалъ - крупнейшее информационно-развлекательное сообщество рунета,858617,85
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,56535128,75
odnoklassniki.ru,www.odnoklassniki.ru/,Одноклассники.ru,19323274,67
mail.ru,mail.ru/,Почта Mail.Ru,13039044,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3690607,84
gismeteo.ru,www.gismeteo.ru/,GISMETEO.RU: Прогноз погоды,3272782,90
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3173179,86
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,2935758,84
kp,kp.ru,Комсомольская правда-Digital,2445173,81
Lenta,lenta.ru,Lenta.Ru,2301802,81
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2278683,90
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,2137482,70
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,2056989,78
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,2054423,80
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1938806,90
mic_izvestia,iz.ru,Известия,1835093,85
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1748199,88
life.ru,life.ru/,L!FE.ru,1591873,91
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,1440461,92
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1399511,79
russian.rt.com,russian.rt.com/,RT на русском,1393411,85
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1375649,82
mail-my,my.mail.ru/,Мой Мир Mail.Ru,1374818,73
russian_rt,https://russian.rt.com/,RT,1366329,85
Pikabu,pikabu.ru,Сообщество Пикабу,1190848,81
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1156786,81
TASS_total,tass.ru,ТАСС - Новости в России и мире,1113206,88
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,964638,76
hsdigital/rn/smi,news.ngs.ru,Hearst Shkulev Digital — НОВОСТИ,949536,97
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,895903,95
yaplakal.com,www.yaplakal.com/,ЯПлакалъ - крупнейшее информационно-развлекательное сообщество рунета,858617,85
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,842595,90
dni.ru,dni.ru/,ДНИ.РУ - интернет-газета,826055,82
fishki,fishki.net/,Фишки Нет - первое развлекательное сообщество Рунета,808052,74
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,807204,78
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",793385,76
sanoma-women,cosmo.ru/,"Independent Women's Network: Cosmo, Bazaar, Women’s Health, Домашний Очаг и др.",787561,79
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",777341,79
starhit.ru,starhit.ru/,Starhit.ru - проект Андрея Малахова о звездах,776058,86
irecommend.ru,irecommend.ru/,IRecommend - отзывы и рекомендации от реальных людей,772009,76
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,765711,90
vz.ru,vz.ru/,ВЗГЛЯД.РУ,763094,82
sdamgia,sdamgia.ru,"СДАМ ГИА: РЕШУ ЕГЭ, ОГЭ и ВПР",761789,98
farpost,farpost.ru,Сайты Владивостока,740831,94
pravdaru,www.pravda.ru/,ПРАВДА.Ру. Новости и оперативные комментарии,699451,85
cosmo.ru,www.cosmo.ru/,COSMOPOLITAN,682113,80
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,681422,84
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,675743,62
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),673025,67
ruprom,tiu.ru,Tiu.ru — Товары и услуги. Крупнейший в России портал товаров и услуг,646269,93
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",640313,79
tnt-online,tnt-online.ru,ТНТ-Online - Смотри все сериалы ТНТ онлайн,637644,82
7dn.ru,7dn.ru/,"7Дней.ру - Всё о звездах! Новости, интервью, фото и видео звезд",633978,87
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,624575,78
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,615692,82
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",587743,84
tutu.ru,tutu.ru/,"Туту.ру - авиа и ж/д билеты, отели, информация для путешественников",582837,92
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,566107,92
Sportbox,www.sportbox.ru,Sportbox.ru,562576,92
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,509804,75
CIAN,www.cian.ru/,ЦИАН ГРУПП - Лидер онлайн недвижимости России,497998,95
topwar.ru,topwar.ru/,Военное обозрение,483599,86
1tv.ru,www.1tv.ru/,1TV - ПЕРВЫЙ КАНАЛ - ТВ РОССИИ,471020,68
Superjob,www.superjob.ru/,"Работа, вакансии, подбор персонала, резюме, поиск работы - SuperJob",465311,95
zaycev.net,zaycev.net/,ТУТ ЗАЙЦЕВ.НЕТ! Только самые свежие и популярные mp3 БЕСПЛАТНО и БЕЗ РЕГИСТРАЦИИ,464251,84
riafan.ru,riafan.ru/,Федеральное агентство новостей,457221,78
russianfood.com,russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,448704,75
tvzvezda.ru,tvzvezda.ru/,"ЗВЕЗДА, медиагруппа  | Круглосуточное информационное вещание",447338,81
narodna-pravda.ua,narodna-pravda.ua/,НАРОДНА ПРАВДА,445425,68
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,443858,90
znak.com,www.znak.com/,Интернет-газета ZNAK.COM,438913,94
regnum.ru,www.regnum.ru/,ИА REGNUM,421943,85
baza.drom.ru,baza.drom.ru/,Объединенная база запчастей,417149,90
e1_ru,e1.ru,E1.RU — Екатеринбург Он-Лайн,408674,95
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,404799,82
BabyBlog,www.babyblog.ru,BabyBlog.ru — общение о семье и детях,402384,75
7ya.ru,www.7ya.ru/,Семейные сайты АЛП-Медиа,388935,81
rusprofile.ru,www.rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,380978,96
baby_ru,www.baby.ru/,бэби.ру - быть счастливой мамой,377702,76
4pda.ru,4pda.ru/,4PDA.ru,376160,70
